,date,SMU56000000000000001,State
0,2019-01,280.9,WY
1,2019-02,282.6,WY
2,2019-03,283.7,WY
3,2019-04,284.3,WY
4,2019-05,292.3,WY
5,2019-06,298.5,WY
6,2019-07,297.2,WY
7,2019-08,297.9,WY
8,2019-09,295.5,WY
9,2019-10,290.6,WY
10,2019-11,285.3,WY
11,2019-12,285.8,WY
12,2020-01,280.2,WY
13,2020-02,280.6,WY
14,2020-03,280.7,WY
15,2020-04,256.3,WY
16,2020-05,265.5,WY
17,2020-06,275.6,WY
18,2020-07,276.0,WY
19,2020-08,277.9,WY
20,2020-09,277.6,WY
21,2020-10,277.3,WY
22,2020-11,271.9,WY
23,2020-12,273.5,WY
